group,sibling,seqid,uniprot_id,url,description,gene,length,probability,num_peptide,num_nondegenerate_peptide,num_spectra,percent_spectra,pct_spectrum_ids,organism,other_seqids
1,a,DECOY0_tr,,,Randomized Protein Sequence,,,1.0,61,61,92,4.4,1.63,,
2,a,DECOY1_tr,,,Randomized Protein Sequence,,,1.0,77,76,128,6.13,2.66,,
3,a,C0K3N3,TXVE_CROAT,"=HYPERLINK(""http://uniprot.org/uniprot/TXVE_CROAT"")",Snake venom vascular endothelial growth factor toxin; svVEGF; Cratrin,,144,1.0,7,7,47,2.25,2.27,Crotalus atrox (Western diamondback rattlesnake).,
4,a,P86543,CRVP1_NAJNA,"=HYPERLINK(""http://uniprot.org/uniprot/CRVP1_NAJNA"")",Cysteine-rich venom protein; CRVP; Cysteine-rich secretory protein 1; CRISP1; Cysteine-rich secretory protein 2; CRISP2; Najanajin,,33,1.0,3,3,14,0.67,0.59,Naja naja (Indian cobra).,sp|Q7T1K6|CRVP1_NAJAT;sp|Q7ZT98|CRVP_OPHHA;tr|B5THG8|B5THG8_NAJKA
5,a,Q9PSN7,VM3H1_CRORU,"=HYPERLINK(""http://uniprot.org/uniprot/VM3H1_CRORU"")",Hemorrhagic metalloproteinase HT-1; Hemorrhagic toxin I; Snake venom metalloproteinase; SVMP,,216,1.0,4,4,18,0.86,0.78,Crotalus ruber ruber (Red diamond rattlesnake).,
6,a,J3RZT5,J3RZT5_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3RZT5_CROAD"")","Keratin, type I cytoskeletal 19",,374,1.0,3,3,5,0.24,0.24,Crotalus adamanteus (Eastern diamondback rattlesnake).,
7,a,J9ZZN7,J9ZZN7_9SAUR,"=HYPERLINK(""http://uniprot.org/uniprot/J9ZZN7_9SAUR"")",Glutathione peroxidase,,247,1.0,2,2,11,0.53,0.55,Thamnophis elegans.,
9,a,B6EWW8,V5NTD_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/V5NTD_GLOBR"")",Snake venom 5'-nucleotidase; 5'-NT; Ecto-5'-nucleotidase,,588,1.0,18,6,77,3.69,2.39,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
9,b,F8S0Z7,V5NTD_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/V5NTD_CROAD"")",Snake venom 5'-nucleotidase; 5'-NT; Ecto-5'-nucleotidase,,526,0.992,13,1,1,0.05,1.34,Crotalus adamanteus (Eastern diamondback rattlesnake).,
10,a,C5H5D1,VM31_CRODC,"=HYPERLINK(""http://uniprot.org/uniprot/VM31_CRODC"")",Zinc metalloproteinase-disintegrin crotastatin; Snake venom metalloprotease; SVMP; Vascular apoptosis-inducing protein-like; VAP-like,,418,1.0,9,1,54,2.58,1.41,Crotalus durissus cascavella (Northeastern Brazilian rattlesnake).,
10,b,C5H5D3,VM32_BOTAT,"=HYPERLINK(""http://uniprot.org/uniprot/VM32_BOTAT"")",Zinc metalloproteinase-disintegrin batroxstatin-2; Snake venom metalloprotease; SVMP; Vascular apoptosis-inducing protein-like; VAP-like,,418,1.0,8,3,18,0.86,1.45,Bothrops atrox (Barba amarilla) (Fer-de-lance).,
10,c,B0VXU8,B0VXU8_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXU8_SISCA"")",Metalloproteinase isoform 6,,444,1.0,6,3,26,1.24,0.36,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
10,d,Q9DGH6,DISSA_GLOHA,"=HYPERLINK(""http://uniprot.org/uniprot/DISSA_GLOHA"")",Disintegrin saxatilin,,73,0.9999,8,4,26,1.24,0.82,Gloydius halys (Chinese water mocassin) (Agkistrodon halys).,
10,e,Q1PS45,VM3AK_DEIAC,"=HYPERLINK(""http://uniprot.org/uniprot/VM3AK_DEIAC"")",Zinc metalloproteinase-disintegrin agkihagin; Snake venom metalloproteinase; SVMP,,608,0.9984,5,1,1,0.05,0.46,Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus).,
10,f,P18618,DISI_BOTAT,"=HYPERLINK(""http://uniprot.org/uniprot/DISI_BOTAT"")",Disintegrin batroxostatin; Platelet aggregation activation inhibitor,,71,0.99,3,1,1,0.05,0.24,Bothrops atrox (Barba amarilla) (Fer-de-lance).,
10,g,Q9PVK9,VM2MD_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/VM2MD_GLOBR"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase Mt-d; SVMP; Disintegrin,,482,0.9753,5,0,7,0.34,0.72,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
10,h,Q0NZX5,DISJA_BOTJA,"=HYPERLINK(""http://uniprot.org/uniprot/DISJA_BOTJA"")",Disintegrin jarastatin; JT; Platelet aggregation activation inhibitor; Jarastatin; Disintegrin jarastatin-AGEEC; Disintegrin jarastatin-GEEC; Disintegrin jarastatin-EC,,88,0.9475,7,3,4,0.19,0.48,Bothropoides jararaca (Jararaca) (Bothrops jararaca).,sp|Q98SP2|VM2J2_BOTJA
11,a,F8S101,PLB_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/PLB_CROAD"")",Phospholipase B; PLB,,553,1.0,6,4,11,0.53,0.43,Crotalus adamanteus (Eastern diamondback rattlesnake).,
12,a,P67862,TXVE_PROFL,"=HYPERLINK(""http://uniprot.org/uniprot/TXVE_PROFL"")",Snake venom vascular endothelial growth factor toxin; svVEGF; Vascular endothelial growth factor F,,146,1.0,3,2,6,0.29,0.3,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis).,
13,a,P80963,PA2H_BOTSC,"=HYPERLINK(""http://uniprot.org/uniprot/PA2H_BOTSC"")",Basic phospholipase A2 homolog Bsc-K49; svPLA2 homolog; Myotoxin II,,137,1.0,29,27,420,20.11,18.28,Bothriechis schlegelii (Eyelash palm pitviper).,
14,a,Q0NZX6,VM2JR_BOTJA,"=HYPERLINK(""http://uniprot.org/uniprot/VM2JR_BOTJA"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase; SVMP; Disintegrin jararin,,156,1.0,6,4,15,0.72,0.4,Bothropoides jararaca (Jararaca) (Bothrops jararaca).,
14,b,J3SBP9,J3SBP9_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3SBP9_CROAD"")",Snake venom metalloproteinase (Type II) 8,,488,0.9999,4,2,5,0.24,0.35,Crotalus adamanteus (Eastern diamondback rattlesnake).,tr|J9Z332|J9Z332_CROAD
14,c,J3SBP8,J3SBP8_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3SBP8_CROAD"")",Snake venom metalloproteinase (Type II) 5f,,478,0.9959,3,1,1,0.05,0.21,Crotalus adamanteus (Eastern diamondback rattlesnake).,
15,a,Q6EER4,PA2B_BOTSC,"=HYPERLINK(""http://uniprot.org/uniprot/PA2B_BOTSC"")",Basic phospholipase A2 Bs-N6; svPLA2; Phosphatidylcholine 2-acylhydrolase,,138,1.0,24,18,150,7.18,6.31,Bothriechis schlegelii (Eyelash palm pitviper).,
16,a,Q8JIR2,VM3HA_PROFL,"=HYPERLINK(""http://uniprot.org/uniprot/VM3HA_PROFL"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase HR1a; SVMP; Disintegrin-like 1a,,609,1.0,3,1,10,0.48,0.42,Protobothrops flavoviridis (Habu) (Trimeresurus flavoviridis).,
17,a,Q90W38,NGFV_BOTJR,"=HYPERLINK(""http://uniprot.org/uniprot/NGFV_BOTJR"")",Venom nerve growth factor; v-NGF; vNGF; Bj-NGF,NGF,241,1.0,11,3,80,3.83,3.05,Bothrops jararacussu (Jararacussu).,
18,a,Q90YA8,QPCT_GLOBL,"=HYPERLINK(""http://uniprot.org/uniprot/QPCT_GLOBL"")",Glutaminyl-peptide cyclotransferase; Glutaminyl cyclase; QC; Glutaminyl-tRNA cyclotransferase,QPCT,368,1.0,4,1,2,0.1,0.23,Gloydius blomhoffii (Mamushi) (Agkistrodon halys blomhoffi).,sp|Q9YIB5|QPCT_BOTJA;tr|J3S3V2|J3S3V2_CROAD
19,a,A5HUI5,A5HUI5_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/A5HUI5_GLOBR"")",Aminopeptidase A,,958,1.0,3,2,3,0.14,0.15,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
20,a,A8E2V4,A8E2V4_BOTSC,"=HYPERLINK(""http://uniprot.org/uniprot/A8E2V4_BOTSC"")",Acidic phospholipase A2,,138,1.0,23,21,168,8.04,7.08,Bothriechis schlegelii (Eyelash palm pitviper).,
21,a,B0VXU4,B0VXU4_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXU4_SISCA"")",Metalloproteinase isoform 1,,611,1.0,10,9,58,2.78,2.73,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
22,a,J3RY93,J3RY93_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3RY93_CROAD"")",Snake venom serine proteinase 12,,260,1.0,11,8,105,5.03,2.79,Crotalus adamanteus (Eastern diamondback rattlesnake).,
22,b,Q91511,VSP5_PROMU,"=HYPERLINK(""http://uniprot.org/uniprot/VSP5_PROMU"")",Beta-fibrinogenase mucrofibrase-5; Snake venom serine protease; SVSP; Tm-5; Tm-IIG,,257,1.0,7,2,37,1.77,1.02,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurusmucrosquamatus).,
22,c,I4CHP3,I4CHP3_GLOHA,"=HYPERLINK(""http://uniprot.org/uniprot/I4CHP3_GLOHA"")",Thrombin-like protein,,239,1.0,5,1,22,1.05,1.33,Gloydius halys (Chinese water mocassin) (Agkistrodon halys).,
22,d,B0VXT6,B0VXT6_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXT6_SISCA"")",Serine proteinase isoform 4,,258,1.0,6,2,3,0.14,0.37,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
22,e,O13069,VSP2_BOTJA,"=HYPERLINK(""http://uniprot.org/uniprot/VSP2_BOTJA"")",Thrombin-like enzyme KN-BJ 2; SVTLE; Kinin-releasing and fibrinogen-clotting serine protease 2,,257,1.0,4,2,5,0.24,0.34,Bothropoides jararaca (Jararaca) (Bothrops jararaca).,
22,f,Q7T229,VSPH_BOTJR,"=HYPERLINK(""http://uniprot.org/uniprot/VSPH_BOTJR"")",Snake venom serine protease homolog; SVSP,,260,1.0,7,2,4,0.19,0.61,Bothrops jararacussu (Jararacussu).,
22,g,Q2QA04,VSP_CRODD,"=HYPERLINK(""http://uniprot.org/uniprot/VSP_CRODD"")",Snake venom serine protease; SVSP,,262,0.9999,6,0,13,0.62,0.29,Crotalus durissus durissus (Central American rattlesnake).,
22,h,F8S114,VSPCR_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/VSPCR_CROAD"")",Thrombin-like enzyme crotalase; SVTLE; Fibrinogen-clotting enzyme; Snake venom serine protease 2; SVSP,,262,0.9994,3,2,17,0.81,0.74,Crotalus adamanteus (Eastern diamondback rattlesnake).,tr|F8S117|F8S117_CROAD;tr|J3RYA3|J3RYA3_CROAD;tr|J3S3W5|J3S3W5_CROAD
22,i,A7LAC6,VSP1_CRYAB,"=HYPERLINK(""http://uniprot.org/uniprot/VSP1_CRYAB"")",Thrombin-like enzyme 1; SVTLE; Fibrinogen-clotting enzyme; Green pit viper thrombin-like enzyme 1; GPV-TL1; Snake venom serine protease; SVSP,,260,0.9985,6,4,40,1.91,0.64,Cryptelytrops albolabris (White-lipped pit viper) (Trimeresurusalbolabris).,sp|A7LAC7|VSP2_CRYAB
22,j,Q8AY82,VSP1M_TRIST,"=HYPERLINK(""http://uniprot.org/uniprot/VSP1M_TRIST"")",Snake venom serine protease 1 homolog; SVSP,,260,0.998,3,1,9,0.43,0.7,Trimeresurus stejnegeri (Chinese green tree viper) (Viridoviperastejnegeri).,
22,k,Q7SZE1,VSPSX_GLOSA,"=HYPERLINK(""http://uniprot.org/uniprot/VSPSX_GLOSA"")",Thrombin-like enzyme saxthrombin; SVTLE; Fibrinogen-clotting enzyme; Snake venom serine protease; SVSP; Thrombin-like enzyme defibrase,,258,0.9979,3,1,7,0.34,0.66,Gloydius saxatilis (Rock mamushi) (Gloydius intermedius saxatilis).,
22,l,Q9YGJ2,VSP1_GLOHA,"=HYPERLINK(""http://uniprot.org/uniprot/VSP1_GLOHA"")",Snake venom serine protease pallabin; SVSP,JZTHR5,260,0.9968,3,1,1,0.05,0.31,Gloydius halys (Chinese water mocassin) (Agkistrodon halys).,
22,m,Q91507,VSP1_PROMU,"=HYPERLINK(""http://uniprot.org/uniprot/VSP1_PROMU"")",Beta-fibrinogenase mucrofibrase-1; Snake venom serine protease; SVSP; Tm-VIG,,257,0.9954,2,1,1,0.05,0.19,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurusmucrosquamatus).,
22,n,B0VXT4,B0VXT4_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXT4_SISCA"")",Serine proteinase isoform 2,,259,0.9946,4,1,2,0.1,0.46,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
22,o,Q27J47,VSPPA_LACMU,"=HYPERLINK(""http://uniprot.org/uniprot/VSPPA_LACMU"")",Venom plasminogen activator LV-PA; LMUT0402S; Plasminogen activating proteinase; Snake venom serine protease; SVSP,,258,0.9939,4,1,4,0.19,0.46,Lachesis muta muta (Bushmaster).,
22,p,Q8UUJ1,VSPUA_GLOUS,"=HYPERLINK(""http://uniprot.org/uniprot/VSPUA_GLOUS"")",Snake venom serine protease ussurase; SVSP,,233,0.9856,3,0,3,0.14,0.49,Gloydius ussuriensis (Ussuri mamushi) (Gloydius blomhoffiiussuriensis).,
22,q,B0VXT9,B0VXT9_SISCA,"=HYPERLINK(""http://uniprot.org/uniprot/B0VXT9_SISCA"")",Serine proteinase isoform 7,,273,0.9854,3,1,13,0.62,0.48,Sistrurus catenatus edwardsii (Desert massasauga) (Crotalophorusedwardsii).,
23,a,J3S3W4,J3S3W4_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3S3W4_CROAD"")",Snake venom serine proteinase 10,,258,1.0,10,5,34,1.63,1.44,Crotalus adamanteus (Eastern diamondback rattlesnake).,
24,a,J3S831,J3S831_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3S831_CROAD"")",Snake venom metalloproteinase (Type III) 5,,608,1.0,4,2,23,1.1,1.22,Crotalus adamanteus (Eastern diamondback rattlesnake).,
25,a,J3S843,J3S843_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3S843_CROAD"")","Actin, cytoplasmic 2",,375,1.0,2,1,3,0.14,0.15,Crotalus adamanteus (Eastern diamondback rattlesnake).,
26,a,J3SBP3,J3SBP3_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3SBP3_CROAD"")",Phosphodiesterase,,810,1.0,14,4,42,2.01,1.99,Crotalus adamanteus (Eastern diamondback rattlesnake).,
27,a,J7H670,J7H670_9SAUR,"=HYPERLINK(""http://uniprot.org/uniprot/J7H670_9SAUR"")",L-amino acid oxidase,LAAO,516,1.0,26,12,146,6.99,6.58,Lachesis muta (bushmaster).,
27,b,K9N7B7,K9N7B7_CRODM,"=HYPERLINK(""http://uniprot.org/uniprot/K9N7B7_CRODM"")",L-amino acid oxidase,,498,1.0,9,6,20,0.96,0.67,Crotalus durissus cumanensis (South American rattlesnake).,
28,a,Q27J48,VESP_LACMU,"=HYPERLINK(""http://uniprot.org/uniprot/VESP_LACMU"")",Ohanin-like protein,,218,0.9999,3,1,23,1.1,0.91,Lachesis muta muta (Bushmaster).,
29,a,Q7LZ61,VM3CX_DABSI,"=HYPERLINK(""http://uniprot.org/uniprot/VM3CX_DABSI"")",Coagulation factor X-activating enzyme heavy chain; Coagulation factor X-activating enzyme chain alpha; RVV-X heavy chain; Russellysin; Snake venom metalloproteinase; SVMP,,619,0.9996,2,1,1,0.05,1.08,Daboia siamensis (Eastern Russel's viper) (Daboia russelii siamensis).,
30,a,F8S0Z0,F8S0Z0_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/F8S0Z0_CROAD"")",C-type lectin 12b; C-type lectin 6,,150,0.9996,4,4,4,0.19,0.11,Crotalus adamanteus (Eastern diamondback rattlesnake).,tr|J3S3U5|J3S3U5_CROAD
31,a,Q9YGJ9,VSPH2_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/VSPH2_GLOBR"")",Snake venom serine protease Haly-2; SVSP,,257,0.9981,2,2,2,0.1,0.08,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
32,a,DECOY0_sp,,,Randomized Protein Sequence,,,0.9958,11,11,12,0.57,0.15,,
33,a,B6EWW5,B6EWW5_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/B6EWW5_GLOBR"")",Aminopeptidase N,,989,0.9822,1,1,1,0.05,0.05,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,tr|B6EWW6|B6EWW6_GLOBR
34,a,P86092,VM3LB_BOTLC,"=HYPERLINK(""http://uniprot.org/uniprot/VM3LB_BOTLC"")",Zinc metalloproteinase leucurolysin-B; Leuc-B; Snake venom metalloproteinase; SVMP,,324,0.9745,1,1,6,0.29,0.3,Bothrops leucurus (White-tailed jararaca) (White-tailed lancehead).,
35,a,Q7SZE0,VM2SA_GLOSA,"=HYPERLINK(""http://uniprot.org/uniprot/VM2SA_GLOSA"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase saxin; SVMP; Disintegrin,,483,0.9683,1,1,1,0.05,0.05,Gloydius saxatilis (Rock mamushi) (Gloydius intermedius saxatilis).,
36,a,J3SDG9,J3SDG9_CROAD,"=HYPERLINK(""http://uniprot.org/uniprot/J3SDG9_CROAD"")",Sterol regulatory element binding transcription factor 1,,1091,0.9641,2,2,3,0.14,0.1,Crotalus adamanteus (Eastern diamondback rattlesnake).,
37,a,O93516,VM2S2_GLOBR,"=HYPERLINK(""http://uniprot.org/uniprot/VM2S2_GLOBR"")",Zinc metalloproteinase/disintegrin; Snake venom metalloproteinase; SVMP; Disintegrin salmosin-2,,108,0.9541,1,1,1,0.05,0.05,Gloydius brevicaudus (Korean slamosa snake) (Agkistrodon halysbrevicaudus).,
38,a,I1SB18,I1SB18_VIPAE,"=HYPERLINK(""http://uniprot.org/uniprot/I1SB18_VIPAE"")",Ammodytin L(1) isoform,,122,0.9502,1,1,21,1.01,1.03,Vipera ammodytes meridionalis (Eastern sand viper).,
39,a,Q27J49,BNP_LACMU,"=HYPERLINK(""http://uniprot.org/uniprot/BNP_LACMU"")",Bradykinin-potentiating and C-type natriuretic peptides; BPP-CNP; Bradykinin-potentiating peptide 1; BPP 1; Bradykinin-potentiating peptide 2; BPP 2; Bradykinin-potentiating peptide 3; BPP 3; Bradykinin-potentiating peptide 4; BPP 4; Bradykinin-potentiating peptide 5; BPP 5; Bradykinin inhibitor peptide; BIP; C-type natriuretic peptide; CNP,,239,0.9364,1,1,1,0.05,0.05,Lachesis muta muta (Bushmaster).,
